Name,Rating,Votes,Duration,Genre
Y2K,4.8, 14K,1h 31m,Sci_fi
The Substance,7.3, 295K,2h 21m,Sci_fi
The Assessment,6.8, 2.6K,1h 54m,Sci_fi
Sonic the Hedgehog 3,6.9, 58K,1h 50m,Sci_fi
Deadpool & Wolverine,7.6, 490K,2h 8m,Sci_fi
The Wild Robot,8.2, 161K,1h 42m,Sci_fi
Dune: Part Two,8.5, 623K,2h 46m,Sci_fi
Venom: The Last Dance,6.0, 116K,1h 50m,Sci_fi
Furiosa: A Mad Max Saga,7.5, 284K,2h 28m,Sci_fi
Alien: Romulus,7.1, 243K,1h 59m,Sci_fi
Megalopolis,4.7, 35K,2h 18m,Sci_fi
Despicable Me 4,6.2, 65K,1h 34m,Sci_fi
Borderlands,4.7, 48K,1h 41m,Sci_fi
Subservience,5.4, 27K,1h 46m,Sci_fi
Transformers One,7.6, 50K,1h 44m,Sci_fi
The Day the Earth Blew Up: A Looney Tunes Movie,7.0, 3.9K,1h 31m,Sci_fi
The Life of Chuck,7.6, 526,1h 50m,Sci_fi
Elevation,5.6, 22K,1h 31m,Sci_fi
A Quiet Place: Day One,6.3, 149K,1h 39m,Sci_fi
Madame Web,4.0, 101K,1h 56m,Sci_fi
It's What's Inside,6.6, 42K,1h 43m,Sci_fi
Distant,5.7, 3.2K,1h 27m,Sci_fi
The Shrouds,6.0, 1.1K,1h 59m,Sci_fi
Ghostbusters: Frozen Empire,6.1, 93K,1h 55m,Sci_fi
Godzilla x Kong: The New Empire,6.0, 121K,1h 55m,Sci_fi
Spaceman,5.7, 43K,1h 47m,Sci_fi
Caddo Lake,6.8, 42K,1h 43m,Sci_fi
Kingdom of the Planet of the Apes,6.9, 151K,2h 25m,Sci_fi
Survive,4.6, 2.4K,1h 30m,Sci_fi
Werewolves,4.4, 6.5K,1h 33m,Sci_fi
Uglies,4.7, 33K,1h 40m,Sci_fi
Arcadian,5.5, 23K,1h 32m,Sci_fi
Slingshot,5.7, 9.4K,1h 48m,Sci_fi
Rich Flu,5.3, 5.7K,1h 56m,Sci_fi
Time Cut,5.0, 19K,1h 31m,Sci_fi
Wallace & Gromit: Vengeance Most Fowl,7.5, 34K,1h 22m,Sci_fi
Atlas,5.6, 56K,1h 58m,Sci_fi
Sting,5.7, 16K,1h 31m,Sci_fi
Apocalypse Z: The Beginning of the End,6.1, 20K,1h 57m,Sci_fi
Love Me,5.1, 2.4K,1h 31m,Sci_fi
Die Alone,5.7, 2.9K,1h 31m,Sci_fi
Kalki 2898 AD,7.0, 66K,3h,Sci_fi
Afraid,5.2, 14K,1h 24m,Sci_fi
Watchmen: Chapter I,7.0, 6.5K,1h 23m,Sci_fi
Rebel Moon - Part Two: The Scargiver,5.3, 59K,2h 2m,Sci_fi
The End,5.5, 1.8K,2h 28m,Sci_fi
Watchmen: Chapter II,7.0, 3K,1h 30m,Sci_fi
Breathe,4.2, 7.2K,1h 33m,Sci_fi
The Platform 2,4.9, 40K,1h 39m,Sci_fi
The Fix,4.6, 1.2K,1h 38m,Sci_fi
Year 10,5.4, 1.9K,1h 36m,Sci_fi
Turn Me On,5.6, 526,1h 39m,Sci_fi
Megamind vs. The Doom Syndicate,2.5, 5.6K,1h 23m,Sci_fi
V/H/S/Beyond,5.8, 9.4K,1h 54m,Sci_fi
Teri Baaton Mein Aisa Uljha Jiya,6.2, 54K,2h 21m,Sci_fi
Babezilla vs the Cyber Skanks: Rise of MechaBabezilla,5.2, 95,55m,Sci_fi
Things Will Be Different,5.2, 2.5K,1h 42m,Sci_fi
The Thundermans Return,5.0, 1.8K,1h 10m,Sci_fi
Justice League: Crisis on Infinite Earths - Part One,6.2, 8.5K,1h 33m,Sci_fi
Omni Loop,5.6, 2.8K,1h 52m,Sci_fi
The Greatest Hits,6.2, 7.4K,1h 34m,Sci_fi
Moon Maidens 2,3.6, 37,1h 9m,Sci_fi
The Empire,5.2, 1.2K,1h 50m,Sci_fi
My Hero Academia: You're Next,7.0, 2.1K,1h 50m,Sci_fi
Futra Days,4.1, 143,1h 39m,Sci_fi
Justice League: Crisis on Infinite Earths - Part Three,6.1, 4.5K,1h 34m,Sci_fi
Levels,5.0, 1.5K,1h 33m,Sci_fi
Baby Invasion,4.5, 441,1h 20m,Sci_fi
Alien: Rubicon,2.4, 339,1h 26m,Sci_fi
Street Trash,4.5, 836,1h 25m,Sci_fi
Badland Hunters,5.9, 12K,1h 47m,Sci_fi
Parallel,5.3, 1.9K,1h 28m,Sci_fi
Ultraman: Rising,6.9, 6.4K,1h 57m,Sci_fi
Code 8: Part II,5.7, 16K,1h 40m,Sci_fi
Uranus 2324,6.4, 4.8K,2h 10m,Sci_fi
Ick,5.6, 203,1h 27m,Sci_fi
Last Night on Earth,4.7, 360,1h 26m,Sci_fi
Wonderland,6.2, 2.2K,1h 53m,Sci_fi
Doraemon the Movie: Nobita's Earth Symphony,6.6, 1.5K,1h 55m,Sci_fi
The Silent Planet,4.9, 223,1h 35m,Sci_fi
We're All Gonna Die,8.2, 92,1h 50m,Sci_fi
Sentinel,2.6, 762,1h 30m,Sci_fi
Agent Recon,2.4, 672,1h 25m,Sci_fi
Unspeakable: Beyond the Wall of Sleep,6.1, 52,1h 30m,Sci_fi
Timestalker,5.5, 2.9K,1h 29m,Sci_fi
U Are the Universe,7.7, 264,1h 30m,Sci_fi
Justice League: Crisis on Infinite Earths - Part Two,5.5, 5.3K,1h 34m,Sci_fi
Arena Wars,4.8, 2.1K,1h 36m,Sci_fi
Latency,4.2, 2.5K,1h 34m,Sci_fi
The Thinking Game,7.6, 165,1h 24m,Sci_fi
Mars,8.9, 21,1h 24m,Sci_fi
City Hunter,6.3, 5.6K,1h 42m,Sci_fi
Boreal,4.6, 47,1h 22m,Sci_fi
All the Lost Ones,3.7, 242,1h 46m,Sci_fi
Alien Country,4.4, 364,1h 36m,Sci_fi
Trapped Inn,2.7, 908,1h 55m,Sci_fi
Through the Door,3.7, 72,1h 10m,Sci_fi
Maid Droid Origins,3.0, 321,1h 36m,Sci_fi
Fight Another Day,4.9, 349,1h 37m,Sci_fi
Another End,6.4, 730,2h 9m,Sci_fi
Lesbian Space Princess,7.2, 131,1h 27m,Sci_fi
Justicia artificial,5.6, 459,1h 38m,Sci_fi
South of Hope Street,6.3, 1.4K,1h 41m,Sci_fi
Planetquake,3.0, 306,1h 25m,Sci_fi
Lumina,2.1, 668,1h 53m,Sci_fi
Terminator: Skynet Rising,6.7, 266,1h 28m,Sci_fi
40 Acres,6.8, 130,1h 53m,Sci_fi
Bionic,4.3, 1.7K,1h 50m,Sci_fi
X Files,2.1, 62,1h 14m,Sci_fi
Bade Miyan Chote Miyan,3.8, 39K,2h 43m,Sci_fi
Drive Back,4.8, 305,1h 34m,Sci_fi
Black Eyed Susan,4.9, 338,1h 25m,Sci_fi
Meanwhile on Earth,6.0, 909,1h 29m,Sci_fi
Previously Saved Version,5.4, 420,1h 57m,Sci_fi
The Bunker,6.4, 70,1h 32m,Sci_fi
The Last Ronin,4.8, 573,1h 55m,Sci_fi
Space Sharks,1.5, 320,1h 10m,Sci_fi
Daniela Forever,6.2, 216,1h 53m,Sci_fi
Planet B,5.4, 147,1h 58m,Sci_fi
Peripheral,9.4, 23,1h 28m,Sci_fi
Can I Get a Witness,6.8, 83,1h 50m,Sci_fi
Psychonaut,7.6, 14,1h 27m,Sci_fi
"Canadian, Sniper",3.4, 356,1h 23m,Sci_fi
Daha Iyi Bir Yarin,6.7, 64,1h 48m,Sci_fi
Big City Greens the Movie: Spacecation,6.2, 542,1h 23m,Sci_fi
Balestra,5.1, 523,2h 25m,Sci_fi
Alienoid: The Return to the Future,6.5, 2.6K,2h 2m,Sci_fi
The Invisibles,5.8, 463,1h 51m,Sci_fi
Test Screening,6.9, 67,1h 32m,Sci_fi
War of the Worlds: Extinction,3.1, 204,1h 24m,Sci_fi
Unexposed,7.7, 70,1h 3m,Sci_fi
Desert Road,6.7, 155,1h 30m,Sci_fi
Ayalaan,6.0, 4K,2h 35m,Sci_fi
Staycation,7.1, 106,1h 34m,Sci_fi
Else,6.1, 233,1h 42m,Sci_fi
Going Viral,6.8, 52,1h 30m,Sci_fi
Light,2.7, 1.3K,1h 33m,Sci_fi
Black,7.1, 2.8K,1h 55m,Sci_fi
Replicator,3.8, 133,1h 15m,Sci_fi
In Vitro,6.3, 127,1h 29m,Sci_fi
Tales Beyond the Galaxy,4.7, 178,1h 16m,Sci_fi
Reversi,7.6, 105,2h 15m,Sci_fi
Vampire Zombies... From Space!,7.7, 70,1h 38m,Sci_fi
UI,6.8, 5.7K,2h 15m,Sci_fi
You Are Not Alone,6.2, 69,1h 45m,Sci_fi
Space Command Redemption,4.5, 154,2h 2m,Sci_fi
Bloody Escape: Bats out of Hell,5.8, 42,1h 40m,Sci_fi
Escape from the 21st Century,6.5, 874,1h 38m,Sci_fi
Alien Weekend,5.3, 155,1h 35m,Sci_fi
Tim Travers & the Time Travelers Paradox,6.9, 277,1h 35m,Sci_fi
Somnium,8.5, 45,1h 32m,Sci_fi
Good Neighbours,3.1, 175,1h 24m,Sci_fi
Sci-Fi Vixens from Beyond,4.0, 45,1h 14m,Sci_fi
No Time to Spy: A Loud House Movie,6.4, 449,1h 21m,Sci_fi
Mars Has Eyes,2.0, 5,1h 10m,Sci_fi
Guest from the Future,6.0, 1.2K,2h 21m,Sci_fi
Earthquake Underground,3.3, 194,1h 23m,Sci_fi
Bureau 749,4.1, 523,2h 3m,Sci_fi
Ape X Mecha Ape: New World Order,2.8, 135,1h 27m,Sci_fi
Ghost Planet,4.8, 263,1h 25m,Sci_fi
Saturn,7.5, 30,1h 40m,Sci_fi
J Loop,5.0, 191,1h 39m,Sci_fi
Anunnakiler,2.5, 449,1h 16m,Sci_fi
Kadaisi Ulaga Por,6.1, 1.2K,2h 20m,Sci_fi
Rani Rani Rani,6.8, 24,1h 37m,Sci_fi
Gaganachari,6.9, 1.1K,1h 55m,Sci_fi
Cora,4.6, 839,1h 44m,Sci_fi
To the Journey: Looking Back at Star Trek: Voyager,9.6, 10,1h 49m,Sci_fi
Schirkoa: In Lies We Trust,5.6, 158,1h 43m,Sci_fi
Blink,7.0, 1.5K,2h 16m,Sci_fi
S.T.A.L.K.E.R.: Shadow of the Zone,5.1, 466,1h 12m,Sci_fi
"Aire, Just Breathe",4.8, 194,1h 38m,Sci_fi
Jon Vardar protiv Galaksijata,8.2, 73,1h 26m,Sci_fi
Adresi Olmayan Ev,6.8, 42,1h 36m,Sci_fi
Mummy Shark,2.0, 178,1h 6m,Sci_fi
Buying Time,6.1, 397,1h 24m,Sci_fi
How to Solve Your Own Murder,6.2, 65,1h 39m,Sci_fi
Red vs. Blue: Restoration,5.6, 136,1h 25m,Sci_fi
www.RachelOrmont.com,3.8, 35,1h 20m,Sci_fi
Quadrant,4.3, 140,1h 13m,Sci_fi
Lunacy,5.0, 62,1h 17m,Sci_fi
THEDÆMON,6.7, 42,1h 27m,Sci_fi
Tacoma,3.5, 174,1h 43m,Sci_fi
The Epidemic,5.7, 72,1h 35m,Sci_fi
Honshin,6.1, 28,2h 2m,Sci_fi
Mobile Suit Gundam SEED Freedom,6.6, 948,2h 4m,Sci_fi
Gaami,6.4, 2K,2h 27m,Sci_fi
The Dugout,5.4, 754,1h 54m,Sci_fi
The Strange Dark,8.9, 39,1h 24m,Sci_fi
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.0, 32,50m,Sci_fi
Electric Child,6.5, 69,1h 58m,Sci_fi
Future Date,5.6, 124,1h 22m,Sci_fi
Fuuto PI: Portrait of Kamen Rider Skull,7.5, 41,1h 22m,Sci_fi
SCP: The Infinite Mission,6.0, 32,16+,Sci_fi
Bury Your Dead,5.5, 80,2h 8m,Sci_fi
Remnant,2.6, 316,1h 52m,Sci_fi
Neon Fear,5.9, 537,40m,Sci_fi
Oculus,6.0, 15,1h 53m,Sci_fi
Taklee Genesis x Worlds Collide,5.4, 406,2h 26m,Sci_fi
Jurassic Triangle,2.5, 281,1h 24m,Sci_fi
Tees,7.4, 9,2h 22m,Sci_fi
Clone Cops,8.0, 191,1h 36m,Sci_fi
ON i Ona,4.5, 59,1h 30m,Sci_fi
Buddy,3.8, 345,2h 17m,Sci_fi
The A-Frame,7.2, 38,1h 22m,Sci_fi
Telekinesis,5.9, 60,1h 46m,Sci_fi
Aftermath,5.2, 4.4K,1h 18m,Sci_fi
Dragon Ball Z Kai,8.5, 71,1h 22m,Sci_fi
Invasión,3.8, 52,1h 31m,Sci_fi
Dead Dead Demon's Dededede Destruction,7.0, 143,2h,Sci_fi
Touchdown,6.8, 14,1h 18m,Sci_fi
Miracle Mirrors,6.5, 108,1h 43m,Sci_fi
Transformers Prime: Galavatron's Revenge,3.7, 9,1h 44m,Sci_fi
The Phantom Warrior,2.4, 555,1h 59m,Sci_fi
Mutant,4.5, 59,1h 30m,Sci_fi
Alien Hunt,3.0, 136,1h 20m,Sci_fi
Aiden,2.6, 123,1h 14m,Sci_fi
Biónica,6.6, 8,1h 22m,Sci_fi
Isleen Pines,5.2, 542,1h 24m,Sci_fi
Re:Human,5.8, 40,1h 48m,Sci_fi
Horse with No Name,7.8, 14,1h 12m,Sci_fi
Offworld: Alien Planet,3.6, 111,1h 32m,Sci_fi
UmroAyyar - A New Beginning,6.9, 674,2h 15m,Sci_fi
C'est le monde à l'envers !,5.3, 94,1h 54m,Sci_fi
Sign Here,6.2, 245,1h 40m,Sci_fi
Boomerang,7.3, 401,2h 14m,Sci_fi
Infinite Summer,5.4, 89,1h 26m,Sci_fi
Addy Daddy,7.4, 29,1h 58m,Sci_fi
Weapon,5.5, 5.5K,2h,Sci_fi
Project Dorothy,3.9, 3.2K,1h 20m,Sci_fi
Mame snova 17,5.5, 178,1h 48m,Sci_fi
Agapouse ta louloudia perissotero,5.3, 181,1h 26m,Sci_fi
Double Ismart,2.9, 2.1K,2h 36m,Sci_fi
The Worlds Divide,8.1, 39,2h,Sci_fi
Captain Avispa,5.8, 175,1h 36m,Sci_fi
The Deadly Swarm,2.5, 189,1h 21m,Sci_fi
Indrani: Epic-1 Dharam vs Karam,7.6, 1.1K,2h 37m,Sci_fi
The Captives,3.5, 66,1h 13m,Sci_fi
Gravediggers,6.4, 29,1h 31m,Sci_fi
Rahasyam Idham Jagath,7.5, 49,2h 33m,Sci_fi
Kuramerukagari,5.8, 80,1h 1m,Sci_fi
Agrinai,8.0, 66,1h 33m,Sci_fi
Dark Fusion,8.5, 235,1h 30m,Sci_fi
Star Abyss,3.8, 244,1h 26m,Sci_fi
O Melhor dos Mundos,6.3, 42,1h 10m,Sci_fi
Night of the Skinwalkers,2.5, 711,1h 34m,Sci_fi
Room 0,3.1, 213,1h 42m,Sci_fi
Spark,5.3, 51,1h 50m,Sci_fi
The Alien Report,4.6, 151,1h 21m,Sci_fi
The Washer,7.5, 9,1h 30m,Sci_fi
Untied,8.0, 29,1h 44m,Sci_fi
Guy Manley: Super Spy,4.4, 117,1h 32m,Sci_fi
Permafrost,5.7, 114,1h 20m,Sci_fi
Operation War Thunder,5.3, 116,1h 14m,Sci_fi
Code Geass: Rozé of the Recapture - Part 1,7.7, 41,1h 14m,Sci_fi
The Secret of Pin-Up Island,7.4, 92,1h 47m,Sci_fi
Yesterday After Tomorrow,5.2, 314,2h,Sci_fi
The Suit,4.3, 6,1h 30m,Sci_fi
Touch,8.0, 11,1h 3m,Sci_fi
Ascension,3.9, 27,1h 37m,Sci_fi
Quadrant: Noir Version,7.1, 10,1h 13m,Sci_fi
Darshini,8.5, 2.1K,2h,Sci_fi
Day of the Clones,3.8, 61,1h 38m,Sci_fi
Transient,6.3, 339,1h 36m,Sci_fi
Arctic Hollow,2.3, 180,1h 10m,Sci_fi
Hidden Memories,5.9, 31,1h 24m,Sci_fi
Replika,5.3, 43,2h 5m,Sci_fi
The Trail,7.3, 26,1h 20m,Sci_fi
Vstretimsya vchera,6.4, 343,1h 19m,Sci_fi
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8, 32,1h 11m,Sci_fi
Traces of Love,6.5, 908,1h 45m,Sci_fi
Brush of the God,6.5, 13,1h 14m,Sci_fi
Our Man in L.A.,3.8, 123,1h 11m,Sci_fi
Sith Wars: Episódio III - Fantasmas Dos Sith,8.6, 114,1h 39m,Sci_fi
Video Vision,5.9, 20,1h 18m,Sci_fi
Flashlight,4.2, 11,1h 17m,Sci_fi
Alien Love,5.3, 54,1h 15m,Sci_fi
Abaddon's Pit,5.7, 41,1h 33m,Sci_fi
Lunar Lockdown,5.2, 78,1h 39m,Sci_fi
Piraty galaktiki Barrakuda,4.5, 82,1h 32m,Sci_fi
Pandasaurus,3.4, 55,1h 18m,Sci_fi
Friends of Sophia,5.5, 15,25m,Sci_fi
Tobias and the Arcane Merchant,9.0, 43,2h 47m,Sci_fi
Creep Encounters,5.9, 65,1h 30m,Sci_fi
Heavens: The Boy and His Robot,6.3, 22,1h 38m,Sci_fi
Dead Dead Demon's Dededede Destruction Zenpen,7.1, 138,2h,Sci_fi
The Human Hibernation,6.4, 63,1h 30m,Sci_fi
Adam i Eva,5.1, 94,1h 35m,Sci_fi
Adabana,6.4, 7,1h 58m,Sci_fi
Jurassic Exorcist,3.8, 23,1h 16m,Sci_fi
The Eye of the Salamander,7.9, 20,1h 21m,Sci_fi
Raduaa Returns,5.4, 71,2h 17m,Sci_fi
Kade,6.7, 16,1h 32m,Sci_fi
Astra,6.8, 8,1h 20m,Sci_fi
Dead Talk Tales: Volume I,6.6, 26,1h 38m,Sci_fi
Mobile Suit Gundam: Silver Phantom,6.1, 13,1h 30m,Sci_fi
Quantum Suicide,6.3, 18,1h 27m,Sci_fi
Something in the Dark,7.2, 22,1h 27m,Sci_fi
Code Geass: Rozé of the Recapture: Part 2,8.0, 27,1h 16m,Sci_fi
Hinter dem Eisernen Horizont,7.8, 14,1h 28m,Sci_fi
Perspectiva,6.1, 97,1h 30m,Sci_fi
"The Girl, the Hunter & the Firefly",7.3, 19,1h 38m,Sci_fi
Back to 2005,8.3, 45,1h 28m,Sci_fi
It All Comes with the Cold Water,8.2, 149,1h 28m,Sci_fi
Iron Nest of the Moon,7.6, 13,1h 10m,Sci_fi
Milestone,7.8, 16,1h 28m,Sci_fi
Ogiva: O Mundo Não é Mais Nosso,5.8, 33,1h 20m,Sci_fi
Shi Ren Yu,2.5, 8,1h 11m,Sci_fi
Demons vs. Ghosts,8.2, 5,1h 32m,Sci_fi
I 20,9.0, 494,1h 54m,Sci_fi
Franta mimozemstan,4.8, 72,1h 38m,Sci_fi
Mama,8.5, 7,1h 40m,Sci_fi
Iravin Kangal,8.1, 171,1h 56m,Sci_fi
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.0, 9,50m,Sci_fi
Code Geass: Rozé of the Recapture: Part 3,7.6, 24,1h 16m,Sci_fi
Through the Graves the Wind Is Blowing,7.1, 70,1h 20m,Sci_fi
Prishelets,5.6, 155,1h 13m,Sci_fi
Trap,3.3, 15,1h 58m,Sci_fi
Max Beyond,6.6, 17,1h 33m,Sci_fi
What Lies Within,5.3, 13,1h 30m,Sci_fi
Code Geass: Rozé of the Recapture: Part 4,7.0, 14,1h 10m,Sci_fi
The Uncertainty Principle,7.9, 10,1h 29m,Sci_fi
Tomorrow Is Another Dream,6.5, 16,1h 20m,Sci_fi
Zenith,6.0, 29,1h 14m,Sci_fi
Aliens Uncovered: UFOs Over Arizona,8.4, 16,1h 56m,Sci_fi
Mertsanie,5.6, 18,1h 32m,Sci_fi
Best Cop Ever,4.3, 49,2h 2m,Sci_fi
A Cápsula,7.0, 6,1h 32m,Sci_fi
Tsena doveriya,5.6, 28,1h 23m,Sci_fi
Soul Traveler (The Feature),4.2, 22,1h 36m,Sci_fi
2015: Future Uncertain,6.9, 17,1h 12m,Sci_fi
Stock Shark,7.0, 54,47m,Sci_fi
Waning Poetic,8.4, 11,1h 33m,Sci_fi
He Has Gone Rogue - The Return of Cyrus,8.8, 32,1h,Sci_fi
Someone Dies!,6.7, 13,1h 26m,Sci_fi
Kohinoor,8.1, 22,1h 59m,Sci_fi
Secret Within the Sphere,7.8, 19,1h 13m,Sci_fi
After Link,7.5, 20,14m,Sci_fi
Alien Love: Deleted Scenes,7.8, 11,7m,Sci_fi
Isle: Alpha One,8.4, 7,1h 37m,Sci_fi
Gostya iz kosmosa,8.5, 6,1h 10m,Sci_fi
Captain Corpse,7.6, 10,1h 45m,Sci_fi
The Winter Prophecy,7.9, 13,52m,Sci_fi
The Burned Hand,8.0, 12,1h 25m,Sci_fi
Zen Fist,7.2, 8,45m,Sci_fi
Kyle and the Last Emerald 2,8.4, 7,15m,Sci_fi
Gut Instinct,6.4, 9,1h 24m,Sci_fi
Morana,6.2, 26,1h 59m,Sci_fi
StarGazer: The Need of the Many,5.0, 9,47m,Sci_fi
The Blinkless,7.8, 12,59m,Sci_fi
PW V: Tears of the Fallen,8.2, 11,1h,Sci_fi
The Clashing Elements: Saviors of the Multiverse,7.0, 8,1h 31m,Sci_fi
